movieId,title,genres,release_year,num_ratings,avg_rating,weighted_score
171011,Planet Earth II (2016),Documentary,2016.0,2041,4.451739343459089,4.450330598237049
159817,Planet Earth (2006),Documentary,2006.0,3015,4.448092868988391,4.447141336492638
170705,Band of Brothers (2001),Action|Drama|War,2001.0,2835,4.423985890652557,4.422990980683219
318,"Shawshank Redemption, The (1994)",Crime|Drama,1994.0,122296,4.416792045528881,4.416769083813295
199618,BTS World Tour: Love Yourself in Seoul (2019),Documentary,2019.0,8,4.75,4.40254121982918
247466,Money Heist: The Phenomenon (2020),Documentary,2020.0,10,4.65,4.377117683190983
171495,Cosmos,(no genres listed),,625,4.3432,4.338956000316255
227534,The Matrix Revolutions Revisited (2004),Documentary,2004.0,4,5.0,4.337568699715298
202439,Parasite (2019),Comedy|Drama,2019.0,12399,4.3299459633841435,4.329733522473856
858,"Godfather, The (1972)",Crime|Drama,1972.0,75004,4.32660258119567,4.326567546758903
179135,Blue Planet II (2017),Documentary,2017.0,1267,4.312943962115233,4.31089472986469
198185,Twin Peaks (1989),Drama|Mystery,1989.0,1132,4.302561837455831,4.300286959610487
220528,Twelve Angry Men (1954),Drama,1954.0,332,4.305722891566265,4.297980276042789
171331,The Work of Director Chris Cunningham (2003),(no genres listed),2003.0,24,4.395833333333333,4.289438930703531
242210,James Acaster: Cold Lasagne Hate Myself 1999 (2020),Comedy,2020.0,19,4.421052631578948,4.286924390394847
102672,New York: A Documentary Film (1999),Documentary,1999.0,11,4.5,4.271185553714753
1221,"Godfather: Part II, The (1974)",Crime|Drama,1974.0,47271,4.269509847475196,4.269456675315682
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995.0,72893,4.267865227113715,4.267830789659075
1203,12 Angry Men (1957),Drama,1957.0,22730,4.267157941047074,4.267047572241698
182723,Cosmos: A Spacetime Odissey,(no genres listed),,599,4.259599332220367,4.255449937101983
163809,Over the Garden Wall (2013),Adventure|Animation|Drama,2013.0,1430,4.256993006993007,4.255255176116125
268520,Ee Nagaraniki Emaindi (2018),Comedy|Drama,2018.0,4,4.875,4.254235366381966
177903,Near Death (1989),Documentary,1989.0,6,4.666666666666667,4.253176524786475
223011,National Theatre Live: Fleabag (2019),Comedy,2019.0,16,4.40625,4.251411788793988
2019,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama,1954.0,17120,4.2508177570093455,4.250673134692109
286897,Spider-Man: Across the Spider-Verse (2023),Action|Adventure|Animation|Sci-Fi,2023.0,528,4.252840909090909,4.2481611550911165
142115,The Blue Planet (2001),Documentary,2001.0,1080,4.25,4.247712950275686
527,Schindler's List (1993),Drama|War,1993.0,84232,4.242336641656378,4.242307446069263
2959,Fight Club (1999),Action|Crime|Drama|Thriller,1999.0,86207,4.23601911677706,4.235990736607527
279770,Kantara (2022),Action|Mystery|Thriller,2022.0,13,4.423076923076923,4.23502747988612
166024,Whiplash (2013),(no genres listed),2013.0,3054,4.2319908316961365,4.231192870483735
176989,The Living Dead: Three Films About The Power of the Past (1995),(no genres listed),1995.0,9,4.5,4.229582927117436
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy,2001.0,35375,4.226035335689046,4.225966741447785
904,Rear Window (1954),Mystery|Thriller,1954.0,26064,4.223027931246163,4.222935065303394
176601,Black Mirror,(no genres listed),,1059,4.2247403210576016,4.222455619414036
105250,"Century of the Self, The (2002)",Documentary,2002.0,397,4.221662468513854,4.215602536837824
