year,month,avg_rating,rating_count,active_users,movies_rated,date
1995,1,3.75,4,2,4,1995-01-01
1996,1,3.984848484848485,66,8,40,1996-01-01
1996,2,3.739795918367347,588,36,104,1996-02-01
1996,3,3.9436895011169026,10744,353,480,1996-03-01
1996,4,3.805734645402104,58940,1756,455,1996-04-01
1996,5,3.5083630111752426,203575,4796,662,1996-05-01
1996,6,3.523333804393908,275973,5701,704,1996-06-01
1996,7,3.543326539173768,235987,5438,695,1996-07-01
1996,8,3.5121033931976764,226011,5076,847,1996-08-01
1996,9,3.5165657417977862,161176,3959,837,1996-09-01
1996,10,3.5786443581432925,205482,5011,1192,1996-10-01
1996,11,3.5691299044521245,196760,4543,1251,1996-11-01
1996,12,3.6126007661082844,157419,4242,1269,1996-12-01
1997,1,3.590410167533218,122901,3453,1286,1997-01-01
1997,2,3.6018688624258206,75661,2385,1373,1997-02-01
1997,3,3.6041324488888486,110201,3069,1323,1997-03-01
1997,4,3.6179663942548452,93853,2543,1374,1997-04-01
1997,5,3.58862089815819,104191,2903,1428,1997-05-01
1997,6,3.5888233495986506,88327,2512,1337,1997-06-01
1997,7,3.6066825076492415,61444,1824,1268,1997-07-01
1997,9,3.603054929991188,20426,459,1224,1997-09-01
1997,10,3.556006887721312,22649,524,1260,1997-10-01
1997,11,3.5406085944366583,42097,1027,1405,1997-11-01
1997,12,3.5299364222659286,21863,559,1345,1997-12-01
1998,1,3.427120762380878,25604,656,1417,1998-01-01
1998,2,3.4228489787279077,18898,484,1408,1998-02-01
1998,3,3.5623295937067,22373,726,1328,1998-03-01
1998,4,3.5592652058934644,21176,647,1486,1998-04-01
1998,5,3.4975946820607016,11433,1685,1292,1998-05-01
1998,6,3.4739670187141005,16191,557,1375,1998-06-01
1998,7,3.5533309443166448,86507,1559,1811,1998-07-01
1998,8,3.5416243163448042,41322,888,1847,1998-08-01
1998,9,3.5200239688405075,20026,457,1741,1998-09-01
1998,10,3.500410004100041,14634,392,1698,1998-10-01
1998,11,3.5759691789068144,16612,406,1764,1998-11-01
1998,12,3.52460814594579,34643,737,1896,1998-12-01
1999,1,3.477742066570616,27069,545,1944,1999-01-01
1999,2,3.6186612576064907,17748,397,1829,1999-02-01
1999,3,3.5456833351570194,9139,318,1653,1999-03-01
1999,4,3.537255926337099,15313,343,1833,1999-04-01
1999,5,3.508076783773995,13805,320,1853,1999-05-01
1999,6,3.5271827328789356,12324,325,1776,1999-06-01
1999,7,3.496024856072375,10943,344,1787,1999-07-01
1999,8,3.4644176311253387,12183,354,1920,1999-08-01
1999,9,3.643795316771663,33652,949,2166,1999-09-01
1999,10,3.6648587644906097,365064,4570,2811,1999-10-01
1999,11,3.6145218321533275,244914,3544,2838,1999-11-01
1999,12,3.605365327293512,468005,5932,2951,1999-12-01
2000,1,3.6118831552980835,179178,3433,2922,2000-01-01
2000,2,3.6146741171691157,130461,2913,2916,2000-02-01
2000,3,3.5873340404053313,156514,2999,3097,2000-03-01
2000,4,3.6370781919589983,185748,3814,3163,2000-04-01
2000,5,3.6003175507175094,115887,2426,3192,2000-05-01
2000,6,3.58923392442824,96544,2133,3148,2000-06-01
2000,7,3.588727396706738,158384,2953,3330,2000-07-01
2000,8,3.5518079516373424,256727,3746,3433,2000-08-01
2000,9,3.5725877750729693,82569,1903,3256,2000-09-01
2000,10,3.5680437780581555,68162,1801,3268,2000-10-01
2000,11,3.5446219167950117,427234,6665,3690,2000-11-01
2000,12,3.5449065286166235,173850,3301,3538,2000-12-01
2001,1,3.530379031277057,139751,3132,3560,2001-01-01
2001,2,3.581490879712338,87881,2578,3410,2001-02-01
